Name,Team,Position,PA,EV,HH%,wOBA,xwOBA,Trend,playerElo
Jordan Hicks,St. Louis Cardinals,RP,110,86.9,28.6,0.233,0.236,0,1069.6311584553928
Sam Coonrod,San Francisco Giants,RP,88,87.8,35.1,0.283,0.301,38,1068.6311584553928
Aaron Nola,Philadelphia Phillies,SP,773,88.8,39.6,0.303,0.303,-44,1068.6311584553928
Richard Rodriguez,Pittsburgh Pirates,RP,253,89.6,38.6,0.323,0.299,-2,1067.6311584553928
Jameson Taillon,Pittsburgh Pirates,SP,158,87.7,39.8,0.287,0.315,-9,1066.6311584553928
Blake Snell,Tampa Bay Rays,SP,413,87.8,31.5,0.304,0.263,69,1066.6311584553928
Rafael Montero,Texas Rangers,RP,91,85.9,26.2,0.301,0.327,39,1066.6311584553928
Jon Gray,Colorado Rockies,SP,637,88.9,43.6,0.326,0.325,77,1066.6311584553928
David Robertson,Philadelphia Phillies,RP,33,92.9,47.6,0.382,0.387,66,1065.6311584553928
Seranthony Dominguez,Philadelphia Phillies,RP,110,84.7,30.9,0.319,0.29,22,1063.6311584553928
Kenley Jansen,Los Angeles Dodgers,RP,229,84,26.6,0.292,0.263,14,1062.6311584553928
Austin Adams,Seattle Mariners,RP,117,90.3,46,0.272,0.255,63,1062.6311584553928
Charlie Morton,Tampa Bay Rays,SP,720,86.8,32.6,0.275,0.275,19,1061.6311584553928
Tony Barnette,Chicago Cubs,SP,5,91.4,60,0.574,0.322,62,1061.6311584553928
Miguel Castro,Baltimore Orioles,SP,297,86.8,32.7,0.305,0.292,73,1060.6311584553928
Hector Rondon,Houston Astros,RP,233,86.8,34.1,0.316,0.296,58,1060.6311584553928
Harrison Musgrave,Colorado Rockies,RP,47,88.8,39.3,0.284,0.317,61,1060.6311584553928
Andrew Chafin,Arizona Diamondbacks,RP,214,86.6,36.4,0.308,0.314,15,1059.6311584553928
Craig Stammen,San Diego Padres,SP,316,86.7,32.9,0.307,0.28,72,1059.6311584553928
Tony Gonsolin,Los Angeles Dodgers,SP,130,86.6,36.6,0.256,0.288,29,1059.6311584553928
Yoshihisa Hirano,Arizona Diamondbacks,RP,208,86.7,28.2,0.322,0.3,-24,1058.6311584553928
Justin Miller,Washington Nationals,RP,65,88,35.4,0.372,0.333,-18,1057.6311584553928
Adam Kolarek,Los Angeles Dodgers,RP,218,86.7,35,0.285,0.287,28,1057.6311584553928
Zach Plesac,Cleveland Indians,SP,434,89.2,38.7,0.316,0.35,52,1057.6311584553928
Xavier Cedeno,Chicago Cubs,RP,13,85.8,33.3,0.467,0.346,58,1057.6311584553928
Chris Bassitt,Oakland Athletics,SP,576,87,32,0.302,0.304,-15,1056.6311584553928
Matt Barnes,Boston Red Sox,RP,245,89.4,35,0.295,0.268,46,1056.6311584553928
Tommy Hunter,Philadelphia Phillies,RP,18,81.6,15.4,0.097,0.177,57,1056.6311584553928
Andres Munoz,San Diego Padres,RP,92,86.7,34.6,0.255,0.284,42,1056.6311584553928
Sam Tuivailala,Seattle Mariners,RP,69,87.2,36.4,0.235,0.261,48,1055.6311584553928
Anibal Sanchez,Washington Nationals,SP,639,86.2,27.4,0.303,0.309,-6,1055.6311584553928
Anthony DeSclafani,Cincinnati Reds,SP,626,88.4,38.8,0.314,0.305,18,1055.6311584553928
Clay Buchholz,Toronto Blue Jays,SP,172,86,35.3,0.342,0.365,41,1054.6311584553928
Hyun-Jin Ryu,Los Angeles Dodgers,SP,648,85.2,31.2,0.275,0.286,-92,1054.6311584553928
Jeff Samardzija,San Francisco Giants,SP,666,89,37.3,0.293,0.321,-18,1054.6311584553928
Ryan Eades,Baltimore Orioles,SP,30,97,73.7,0.309,0.405,54,1053.6311584553928
Jandel Gustave,San Francisco Giants,RP,79,88.5,35.9,0.22,0.341,19,1053.6311584553928
Ross Stripling,Los Angeles Dodgers,SP,333,88.2,38.8,0.299,0.281,51,1052.6311584553928
Emmanuel Clase,Texas Rangers,RP,71,85,33.3,0.287,0.274,43,1052.6311584553928
Jake Odorizzi,Minnesota Twins,SP,614,88,35.9,0.296,0.299,29,1051.6311584553928
Tommy Kahnle,New York Yankees,RP,222,87.7,35.5,0.264,0.251,10,1051.6311584553928
David Phelps,Chicago Cubs,RP,120,89.3,37.7,0.326,0.308,-1,1050.6311584553928
Ian Kennedy,Kansas City Royals,RP,242,87.2,33.3,0.295,0.274,11,1049.6311584553928
Johnny Cueto,San Francisco Giants,SP,17,77.6,8.3,0.098,0.124,50,1049.6311584553928
Ian Gibaut,Texas Rangers,RP,43,91.2,44.4,0.232,0.309,49,1048.6311584553928
Yonny Chirinos,Tampa Bay Rays,SP,504,87.6,33.7,0.286,0.318,-1,1048.6311584553928
Cody Reed,Cincinnati Reds,SP,25,89,44.4,0.219,0.165,49,1048.6311584553928
Brock Burke,Texas Rangers,SP,95,84.2,27.4,0.302,0.317,-1,1048.6311584553928
Justin Shafer,Toronto Blue Jays,RP,151,88.7,34.7,0.339,0.311,10,1048.6311584553928
Joe Smith,Houston Astros,RP,74,92,50.9,0.257,0.24,29,1048.6311584553928
Jose Rodriguez,Los Angeles Angels,RP,44,86.9,21.9,0.286,0.318,48,1047.6311584553928
Zack Wheeler,New York Mets,SP,741,86.5,32.9,0.303,0.306,54,1047.6311584553928
Steven Wright,Boston Red Sox,RP,33,90.6,34.8,0.51,0.459,48,1047.6311584553928
Blake Parker,Philadelphia Phillies,RP,229,88.5,40.8,0.312,0.348,38,1047.6311584553928
Mark Melancon,Atlanta Braves,RP,259,89.1,37.4,0.306,0.291,1,1046.6311584553928
Alex Claudio,Milwaukee Brewers,RP,250,84.5,29.8,0.317,0.3,60,1044.6311584553928
Brad Keller,Kansas City Royals,SP,709,88.9,38.3,0.31,0.33,-3,1044.6311584553928
Pedro Strop,Chicago Cubs,RP,152,89.6,38,0.334,0.318,-40,1044.6311584553928
Yoan Lopez,Arizona Diamondbacks,RP,223,91.9,45.3,0.29,0.372,-2,1044.6311584553928
Jacob Webb,Atlanta Braves,RP,131,88,33.3,0.287,0.281,69,1043.6311584553928
J.B. Wendelken,Oakland Athletics,RP,113,86.1,32.9,0.251,0.224,15,1043.6311584553928
Grant Dayton,Atlanta Braves,RP,37,91.3,39.1,0.353,0.27,44,1043.6311584553928
Nick Goody,Cleveland Indians,RP,153,85.8,30.4,0.286,0.248,-25,1043.6311584553928
Adrian Houser,Milwaukee Brewers,SP,400,86.2,35.7,0.313,0.286,26,1043.6311584553928
Raisel Iglesias,Cincinnati Reds,RP,255,87.4,34.2,0.32,0.29,9,1043.6311584553928
Cam Bedrosian,Los Angeles Angels,RP,258,88.7,36.1,0.273,0.301,10,1043.6311584553928
Sergio Romo,Minnesota Twins,RP,230,84.8,23.6,0.274,0.273,9,1043.6311584553928
Victor Arano,Philadelphia Phillies,SP,16,92.9,28.6,0.266,0.3,43,1042.6311584553928
Amir Garrett,Cincinnati Reds,RP,230,87.1,32.2,0.304,0.288,5,1042.6311584553928
Craig Kimbrel,Chicago Cubs,RP,88,91.6,43.8,0.378,0.383,2,1042.6311584553928
Joe Kelly,Los Angeles Dodgers,RP,212,89.3,40.6,0.31,0.286,51,1041.6311584553928
Sean Newcomb,Atlanta Braves,RP,271,87.2,31.9,0.303,0.316,12,1041.6311584553928
Junior Fernandez,St. Louis Cardinals,RP,33,92.3,50,0.254,0.326,41,1040.6311584553928
